algorithm,problem,mean,max,min,std
AE1,1,-236.1939098716419,-232.30724657956694,-239.71366854310966,2.7986190061933236
AE1,2,-513.4859155762751,-497.9446174885709,-523.189583222384,9.05549575873327
AE1,3,-873.9671199342365,-840.9585498281373,-889.2220624230238,17.247103907465235
AE2,1,-241.48370930355117,-241.48370930355114,-241.48370930355114,2.842170943040401e-14
AE2,2,-537.1601553837477,-537.1601553837477,-537.1601553837477,0.0
AE2,3,-964.1834679610225,-963.6740756838767,-964.8930692334799,0.4146070556060596
