,Unnamed: 0,seed,HV,time,nds,RF_train_acc,SVC_train_acc,MLP_train_acc,RF_test_acc,SVC_test_acc,MLP_test_acc,RF_val_acc,SVC_val_acc,MLP_val_acc,RF_c_features,SVC_c_features,MLP_c_features,c_min,c_max,f1_min,f1_max,f2_min,f2_max
0,0,2026,0,0,1,1.0,0.8157894736842105,0.9210526315789472,0.7941176470588235,0.6176470588235294,0.8235294117647058,0.8416666666666666,0.7249999999999999,0.8944444444444445,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
1,1,2027,0,0,1,1.0,0.8157894736842105,1.0,0.7941176470588235,0.6176470588235294,0.8529411764705882,0.9055555555555554,0.7249999999999999,0.7930555555555556,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
2,2,2028,0,0,1,1.0,0.8157894736842105,1.0,0.7647058823529411,0.6176470588235294,0.9117647058823528,0.8666666666666667,0.7249999999999999,0.8277777777777777,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
3,3,2029,0,0,1,1.0,0.8157894736842105,0.9473684210526316,0.7941176470588235,0.6176470588235294,0.8529411764705882,0.9083333333333332,0.7249999999999999,0.9486111111111112,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
4,4,2030,0,0,1,1.0,0.8157894736842105,0.9736842105263158,0.8235294117647058,0.6176470588235294,0.8529411764705882,0.8680555555555556,0.7249999999999999,0.9208333333333332,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
5,5,2031,0,0,1,1.0,0.8157894736842105,1.0,0.7647058823529411,0.6176470588235294,0.8823529411764706,0.9180555555555556,0.7249999999999999,0.961111111111111,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
6,6,2032,0,0,1,1.0,0.8157894736842105,0.9736842105263158,0.8235294117647058,0.6176470588235294,0.8823529411764706,0.8944444444444444,0.7249999999999999,0.8666666666666666,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
7,7,2033,0,0,1,1.0,0.8157894736842105,1.0,0.7941176470588235,0.6176470588235294,0.9117647058823528,0.8416666666666667,0.7249999999999999,0.9194444444444444,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
8,8,2034,0,0,1,1.0,0.8157894736842105,1.0,0.7941176470588235,0.6176470588235294,0.9117647058823528,0.8791666666666667,0.7249999999999999,0.9736111111111112,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
9,9,2035,0,0,1,1.0,0.8157894736842105,1.0,0.7647058823529411,0.6176470588235294,0.9411764705882352,0.9319444444444444,0.7249999999999999,0.8666666666666667,7129,7129,7129,7129,7129,-0.2110467798891249,0.2110467798891249,0.1905240475359591,0.1905240475359591
